id,Name,Adress,Name_of_the_Street,Type_of_road,URL,Only_for_Subs,Total_Parking_Spots,PRM_Spots,Electric_Spots,Bicycle_Spots,Maximum_Height,CoordenadaX,CoordenadaY,Tarif_1h,Tarif_2h,Tarif_3h,Tarif_4h,Tarif_24h,District,Phone,Elevator,MonthlySubCar,AnnualSubCar,MonthlySubPRM,AnnualSubPRM,MothlySubElectric,AnnualSubElectric,MonthlySubMoto,AnnualSubMoto,MonthlySubBicl,Tarif_15mn Moto,Tarif_30mn Moto,Tarif_24h Moto
75101-P-041,HARLAY (PONT NEUF),"40 bis quai des orfevres, 75001, Paris",quai des orfevres,quai,https://fr.parkindigo.com/parking/paris-75001/harlay-pont-neuf-75010300,False,736,7,0,0,190,23.427.859,4.885.566.488,4.8,9.6,14.4,19.2,43.2,1,146339748,True,269,2797,-1,-1,134,1398,94,978,-1,-1,-1,-1
75106-P-055,SAINT GERMAIN DES PRES,"169 ter boulevard saint germain, 75006, Paris",boulevard saint germain,boulevard,https://fr.parkindigo.com/parking/paris-75006/saint-germain-des-pres-75060800,False,342,17,6,0,190,233.113.402,4.885.420.443,5.4,10.8,16.2,21.6,48.6,6,145491855,True,338,3515,-1,-1,-1,-1,144,1497,-1,-1,-1,-1
75109-P-045,MONTHOLON,"3 m rue mayran, 75009, Paris",rue mayran,rue,https://fr.parkindigo.com/parking/paris-75009/montholon-75091600,False,423,9,3,8,190,234.595.065,4.887.687.366,4.4,8.8,13.2,17.6,39.6,9,142853757,True,253,2631,126,1315,126,1315,88,920,10,0.4,0.8,13.5
75108-P-125,CHAMPS ELYSEES PIERRE CHARRON,"67 ter rue pierre charron, 75008, Paris",rue pierre charron,rue,https://fr.parkindigo.com/parking/paris-75008/pierre-charron-champs-elysees-75081900,False,398,8,9,0,195,230.459.026,4.887.021.579,5.4,10.8,16.2,21.6,48.6,8,140740960,True,304,3161,152,1580,152,1580,106,1106,10,0.5,0.95,16.65
75105-P-070,GAY LUSSAC,"45 ter rue gay lussac, 75005, Paris",rue gay lussac,rue,https://www.saemes.fr/fr/parking/parking-gay-lussac,True,103,0,0,0,195,234.332.861,4.884.187.546,-1,-1,-1,-1,-1,5,144829999,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
75108-P-002,MALESHERBES ANJOU,"20 ter boulevard malesherbes, 75008, Paris",boulevard malesherbes,boulevard,https://www.sags.fr/parking-paris/paris-malesherbes-anjou.html,False,859,12,18,110,190,232.170.183,4.887.250.966,5,10,15,20,45,8,142650611,False,313,3130,156.5,1565,156.5,1565,109,1090,10,0.4,0.8,14.4
75110-P-126,RECOLLETS,"3 ter passage des recollets, 75010, Paris",passage des recollets,passage,https://www.saemes.fr/fr/parking/parking-recollets,True,100,0,0,0,200,235.911.877,4.887.418.354,-1,-1,-1,-1,-1,10,144829999,True,185,1850,-1,-1,-1,-1,93,930,-1,-1,-1,-1
75112-P-127,LYON DIDEROT,"196 rue de  bercy, 75012, Paris",rue de  bercy,rue,https://www.effia.com/parking/parking-paris-gare-de-lyon-diderot-effia,False,305,6,5,0,190,237.216.992,4.884.468.165,5,9.8,14.4,18.8,38.2,12,153176308,True,-1,-1,-1,-1,-1,-1,108.6,-1,-1,0.6,1.2,18.6
75112-P-017,PICPUS NATION,"65 m boulevard de picpus, 75012, Paris",boulevard de picpus,boulevard,https://fr.parkindigo.com/parking/paris-75012/picpus-nation-75120100,False,914,16,2,0,190,239.914.441,4.884.715.454,3.6,7.2,10.8,14.4,32.4,12,146286047,True,139,1445,69,722,69,722,48,505,10,0.35,0.65,11.25
75113-P-119,CHARLETY THOMIRE,"2 rue thomire, 75013, Paris",rue thomire,rue,https://www.saemes.fr/fr/parking/parking-charlety-thomire,True,883,26,0,0,190,234.815.367,4.881.978.937,-1,-1,-1,-1,-1,13,144829999,True,102,1020,46,-1,-1,-1,41,410,-1,-1,-1,-1
75108-P-020,GEORGE V,"113 avenue des champs elysees, 75008, Paris",avenue des champs elysees,avenue,https://fr.parkindigo.com/parking/paris-75008/george-v-75082400,False,1106,21,26,68,190,229.949.965,4.887.215.419,5.2,10.4,15.6,20.8,46.8,8,147200268,True,270,2808,135,1404,135,1404,94,982,10,0.45,0.9,16.2
75112-P-129,BERCY SEINE VEHICULES LEGERS,"180 quai de bercy, 75012, Paris",quai de bercy,quai,https://www.saemes.fr/fr/parking/parking-bercy-seine,False,300,14,2,10,190,238.083.038,4.883.505.677,4.1,8.2,12.3,16.4,36.9,12,143074858,True,176,1760,-1,-1,88,880,70.4,704,18,0.35,0.7,12.6
75114-P-117,MAINE BASCH ALESIA,"204 ter avenue du maine, 75014, Paris",avenue du maine,avenue,https://fr.parkindigo.com/parking/paris-75014/alesia-75140400,False,482,10,2,5,185,232.571.957,4.883.027.508,4.6,9.2,13.8,18.4,41.4,14,143205699,True,212,2204,106,1102,106,1102,74,771,10,0.4,0.8,14.4
75117-P-079,PEREIRE,"211 m boulevard pereire, 75017, Paris",boulevard pereire,boulevard,https://www.saemes.fr/fr/parking/parking-pereire,True,277,0,0,0,200,229.020.357,4.888.102.649,-1,-1,-1,-1,-1,17,144829999,False,205,2050,-1,-1,-1,-1,-1,1262,-1,-1,-1,-1
75115-P-157,FREMICOURT,"13 ter rue fremicourt, 75015, Paris",rue fremicourt,rue,https://fr.parkindigo.com/parking/paris-75015/fremicourt-75150700,True,204,5,2,21,190,229.739.674,4.884.734.233,-1,-1,-1,-1,-1,15,145484330,True,238,2475,119,1237,119,1237,83,866,10,-1,-1,-1
75105-P-050,SOUFFLOT,"18 m rue soufflot, 75005, Paris",rue soufflot,rue,https://fr.parkindigo.com/parking/paris-75005/soufflot-pantheon-75050100,False,689,13,6,8,190,234.241.862,4.884.708.752,4.8,9.6,14.4,19.2,43.2,5,143261554,True,261,2714,130,1357,130,1357,91,949,10,0.45,0.85,14.85
75110-P-131,EURONORD LARIBOISIERE,"10 ter rue ambroise pare, 75010, Paris",rue ambroise pare,rue,https://fr.parkindigo.com/parking/paris-75010/euronord-lariboisiere-75100400,False,482,10,0,6,190,235.217.631,4.888.204.018,5,10,15,20,45,10,141720265,True,229,2381,114,1190,114,1190,80,833,10,0.45,0.9,15.75
75116-P-138,VERSAILLES REYNAUD,"178 ter avenue de versailles, 75016, Paris",avenue de versailles,avenue,https://fr.parkindigo.com/parking/paris-75016/versailles-reynaud-75160900,False,263,1,0,0,190,226.260.484,4.883.966.022,5.2,10.4,15.6,20.8,46.8,16,145484330,True,228,2371,-1,-1,-1,-1,96,998,-1,-1,-1,-1
75107-P-063,SUFFREN,"8 ter place joffre, 75007, Paris",place joffre,place,https://fr.parkindigo.com,True,162,0,0,0,190,230.187.526,4.885.199.765,-1,-1,-1,-1,-1,7,145484330,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
75105-P-076,PATRIARCHES,"42 ter rue daubenton, 75005, Paris",rue daubenton,rue,https://fr.parkindigo.com/parking/paris-75005/patriarches-75050300,False,344,7,3,10,190,23.508.884,4.884.034.371,4.8,9.6,14.4,19.2,43.2,5,143374353,True,306,3182,153,1591,153,1591,107,1113,10,0.45,0.85,14.85
75116-P-012,FOCH,"4 ter avenue foch, 75016, Paris",avenue foch,avenue,https://fr.parkindigo.com/parking/paris-75016/foch-75161300,False,2024,14,0,5,190,229.199.298,4.887.364.988,5,10,15,20,47.5,16,141720260,True,328,3411,164,1705,164,1705,114,1193,10,0.8,1.2,16.55
75109-P-113,MILTON,"31 ter rue milton, 75009, Paris",rue milton,rue,https://www.saemes.fr/fr/parking/parking-milton,True,99,0,0,0,190,234.197.019,4.887.905.983,-1,-1,-1,-1,-1,9,144829999,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
75117-P-072,MAIRIE DU 17 EME,"20 rue des batignolles, 75017, Paris",rue des batignolles,rue,https://www.saemes.fr/fr/parking/parking-mairie-du-17eme,False,323,7,2,55,180,232.145.852,4.888.469.716,4.3,8.6,12.9,17.2,38.7,17,153043010,True,240,2400,-1,-1,-1,-1,96,960,18,0.4,0.8,13.5
75115-P-049,PORTE DE VERSAILLES,"40 ter boulevard victor, 75015, Paris",boulevard victor,boulevard,https://www.sags.fr/parking-paris/paris-porte-de-versailles.html,False,474,10,4,10,190,228.540.134,4.883.364.524,4.7,9.4,14.1,18.8,51.7,15,153684609,True,243,2430,121.5,1215,116.2,1162,85.05,850.5,10,0.4,0.8,17.6
75108-P-107,CHAMPS ELYSEES,"64 avenue des champs elysees, 75008, Paris",avenue des champs elysees,avenue,https://fr.parkindigo.com/parking/paris-75008/champs-elysees-75080600,False,826,11,10,0,190,2.305.418,48.870.672,5.2,10.4,15.6,20.8,46.8,8,145614079,True,281,2922,-1,-1,140,1461,98,1022,-1,-1,-1,-1
75117-P-004,VILLIERS,"14 ter avenue de villiers, 75017, Paris",avenue de villiers,avenue,https://fr.parkindigo.com/parking/paris-75017/villiers-75171800,False,388,4,2,10,190,231.430.614,4.888.185.618,5,10,15,20,45,17,141720271,True,343,3567,171,1783,171,1783,120,1248,10,0.45,0.9,15.75
75114-P-033,MAIRIE DU 14 EME,"1 ter rue charles divry, 75014, Paris",rue charles divry,rue,https://www.saemes.fr/fr/parking/parking-mairie-du-14eme,True,161,0,2,0,190,232.738.266,4.883.305.564,-1,-1,-1,-1,-1,14,144829999,False,263,2630,131.5,1315,131.5,1315,-1,-1,-1,-1,-1,-1
75118-P-105,CARPEAUX,"5 ter rue carpeaux, 75018, Paris",rue carpeaux,rue,https://www.saemes.fr/fr/parking/parking-carpeaux,True,97,1,0,0,190,232.973.617,4.889.029.795,-1,-1,-1,-1,-1,18,144829999,False,-1,-1,-1,-1,-1,-1,76,760,-1,-1,-1,-1
75107-P-075,CHAMPAGNY,"15 m rue casimir perier, 75007, Paris",rue casimir perier,rue,https://www.saemes.fr/fr/parking/parking-champagny,True,111,0,0,0,190,23.193.649,4.885.807.027,-1,-1,-1,-1,-1,7,144829999,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
75107-P-042,BAC MONTALEMBERT,"39 rue du bac, 75007, Paris",rue du bac,rue,https://www.saemes.fr/fr/parking/parking-bac-montalembert,False,417,9,3,0,190,232.697.691,4.885.659.157,4.6,9.2,13.8,18.4,41.4,7,142221566,True,380,3800,-1,-1,190,1900,133,1330,10,0.4,0.8,14.4
75102-P-048,BOURSE,"12 quater place de la bourse, 75002, Paris",place de la bourse,place,https://www.sags.fr/parking-paris/paris-bourse.html,False,899,3,3,0,190,234.077.428,4.886.963.785,4.8,9.6,14.4,19.2,43.2,2,186222327,False,380,3800,-1,-1,266,2660,133,1330,10,0.4,0.8,14.4
75116-P-053,PLACE VICTOR HUGO,"76 ter avenue victor hugo, 75016, Paris",avenue victor hugo,avenue,https://fr.parkindigo.com/parking/paris-75016/place-victor-hugo-75160400,False,530,6,6,5,190,228.454.072,4.886.938.969,5,10,15,20,45,16,141720260,True,348,3619,174,1809,174,1809,121,1266,10,0.45,0.9,15.75
75106-P-086,MARCHE SAINT GERMAIN,"2 ter rue lobineau, 75006, Paris",rue lobineau,rue,https://www.saemes.fr/fr/parking/parking-marche-saint-germain,True,113,0,0,0,190,23.366.929,4.885.179.163,-1,-1,-1,-1,-1,6,144829999,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
75113-P-150,BORDS DE SEINE FREYSSINET (RIVE GAUCHE),"25 ter rue abel gance, 75013, Paris",rue abel gance,rue,https://fr.parkindigo.com/parking/paris-75013/bords-de-seine-freyssinet-75131000,False,390,10,3,16,190,23.730.091,4.883.515.677,4.2,8.4,12.6,16.8,37.8,13,144066050,True,248,2579,124,1289,124,1289,86,902,10,0.4,0.75,13.05
75118-P-068,FIRMIN GEMIER,"5 ter rue firmin gemier, 75018, Paris",rue firmin gemier,rue,https://www.sags.fr/parking-paris/paris-firmin-gemier.html,True,127,0,0,0,195,23.301.107,4.889.477.662,-1,-1,-1,-1,-1,18,?,False,200,2000,-1,-1,130,1300,70,700,10,-1,-1,-1
75113-P-152,CITE DE LA MODE AUSTERLITZ (RIVE GAUCHE),"29 ter quai d austerlitz, 75013, Paris",quai d austerlitz,quai,https://fr.parkindigo.com/parking/paris-75013/cite-de-la-mode-austerlitz-75130900,False,345,7,4,16,190,237.111.402,4.883.941.726,4.2,8.4,12.6,16.8,37.8,13,144066050,True,248,2579,124,1289,124,1289,86,902,10,0.4,0.75,13.05
75106-P-160,SAINT GERMAIN (GARAGE),"169 ter boulevard saint germain, 75006, Paris",boulevard saint germain,boulevard,https://fr.parkindigo.com/parking/paris-75000/garage-saint-germain-des-pres-75061300,True,282,0,0,0,190,233.113.826,4.885.421.111,-1,-1,-1,-1,-1,6,145491855,True,343,3567,171,1783,171,1783,-1,-1,10,-1,-1,-1
75117-P-154,CARDINET,"149 ter rue cardinet, 75017, Paris",rue cardinet,rue,https://www.sags.fr/parking-paris/-cardinet.html,True,599,12,9,24,195,231.692.093,4.889.006.559,-1,-1,-1,-1,-1,17,186220768,True,250,2500,-1,-1,175,1750,87.5,875,10,-1,-1,-1
75116-P-043,PORTE DE SAINT CLOUD,"10 avenue de la porte de saint cloud, 75016, Paris",avenue de la porte de saint cloud,avenue,https://fr.parkindigo.com/parking/paris-75016/porte-de-saint-cloud-75161400,False,1119,28,3,21,190,225.373.418,488.387.931,4.4,8.8,13.2,17.6,39.6,16,146512868,True,190,1976,95,988,95,988,66,686,10,0.4,0.8,13.5
75103-P-044,SAINT MARTIN,"245 ter rue saint martin, 75003, Paris",rue saint martin,rue,https://fr.parkindigo.com/parking/paris-75003/saint-martin-75030100,False,545,4,0,0,190,235.360.268,4.886.588.384,5.2,10.4,15.6,20.8,46.8,3,141720265,True ,327,3400,-1,-1,-1,-1,134,1393,-1,-1,-1,-1
75117-P-001,AMPERE,"93 ter rue ampere, 75017, Paris",rue ampere,rue,https://fr.parkindigo.com,True,204,0,0,0,190,229.855.692,4.888.530.074,-1,-1,-1,-1,-1,17,141720271,False,325,3250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
75113-P-120,CHARLETY COUBERTIN,"27 ter avenue pierre de coubertin, 75013, Paris",avenue pierre de coubertin,avenue,https://www.saemes.fr/fr/parking/parking-charlety-coubertin,False,407,5,2,22,185,234.427.348,4.881.733.316,4.1,8.2,12.3,16.4,36.9,13,145652561,True,129,1380,-1,-1,64.5,690,52,552,18,0.35,0.7,12.6
75104-P-025,LOBAU,"2 quater rue de lobau, 75004, Paris",rue de lobau,rue,https://www.sags.fr/parking-paris/paris-lobau.html,False,788,18,235,119,190,235.340.985,4.885.610.166,4.6,9.2,13.8,18.4,41.4,4,142778853,True,275,2750,137.5,1375,179,1790,96.25,962.5,10,0.4,0.8,14.4
75114-P-051,PORTE D ORLEANS,"8 avenue de la porte d orleans, 75014, Paris",avenue de la porte d orleans,avenue,https://www.saemes.fr/fr/parking/parking-porte-dorleans,False,665,13,2,27,185,232.584.893,488.205.466,4,8,12,16,36,14,140520920,True,155,1550,-1,-1,77.5,775,54,542,10,0.35,0.7,12.6
75108-P-061,ROND POINT DES CHAMPS ELYSEES,"2 m rond point des champs elysees marcel dassault, 75008, Paris",rond point des champs elysees marcel dassault,rond point,https://fr.parkindigo.com/parking/paris-75008/rond-point-des-champs-elysees-75080400,False,561,12,0,10,190,231.102.051,4.886.932.976,5.4,10.8,16.2,21.6,48.6,8,142250483,True,281,2922,140,1461,140,1461,98,1022,10,0.5,0.95,16.65
75107-P-155,SEVRES BABYLONE,"1 bis rue de babylone, 75007, Paris",rue de babylone,rue,https://fr.parkindigo.com/parking/paris-75007/sevres-babylone-75071100,False,866,18,7,40,190,232.495.873,488.515.934,4.8,9.6,14.4,19.2,43.2,7,145484330,True,311,3234,155,1617,155,1617,108,1131,10,0.45,0.85,14.85
